iter	Passed	Remaining
652	881	468
653	882	466
654	883	465
655	884	463
656	885	462
657	885	460
658	886	458
659	888	457
660	889	456
661	890	454
662	892	453
663	893	452
664	895	451
665	896	449
666	897	448
667	898	446
668	899	444
669	900	443
670	900	441
671	901	440
672	902	438
673	903	437
674	904	435
675	905	434
676	907	433
677	909	431
678	910	430
679	911	428
680	912	427
681	913	425
682	914	424
683	915	422
684	916	421
685	917	419
686	917	418
687	918	416
688	919	414
689	920	413
690	922	412
691	924	411
692	925	409
693	926	408
694	927	406
695	928	405
696	929	403
697	929	402
698	931	400
699	932	399
700	932	397
701	933	396
702	934	394
703	935	393
704	937	392
705	939	391
706	940	389
707	941	388
708	942	386
709	943	385
710	944	383
711	944	382
712	945	380
713	946	379
714	947	377
715	948	376
716	949	374
717	950	373
718	951	372
719	953	370
720	954	369
721	955	367
722	956	366
723	957	364
724	958	363
725	958	361
726	959	360
727	960	359
728	961	357
729	962	355
730	963	354
731	963	352
732	965	351
733	966	350
734	968	349
735	970	347
736	971	346
737	972	345
738	973	343
739	974	342
740	974	340
741	975	339
742	976	337
743	977	336
744	978	334
745	979	333
746	980	332
747	983	331
748	984	329
749	985	328
750	986	326
751	987	325
752	988	324
753	989	322
754	990	321
755	991	320
756	993	318
757	995	317
758	997	316
759	999	315
760	1000	314
761	1001	312
762	1003	311
763	1004	310
764	1006	309
765	1007	307
766	1010	307
767	1012	305
768	1014	304
769	1016	303
770	1017	302
771	1018	300
772	1019	299
773	1020	297
774	1021	296
775	1022	295
776	1023	293
777	1025	292
778	1028	291
779	1029	290
780	1030	288
781	1031	287
782	1032	286
783	1033	284
784	1034	283
785	1034	281
786	1036	280
787	1037	279
788	1038	277
789	1041	276
790	1043	275
791	1044	274
792	1046	273
793	1048	271
794	1049	270
795	1051	269
796	1052	267
797	1054	266
798	1057	266
799	1058	264
800	1059	263
801	1061	261
802	1061	260
803	1062	259
804	1063	257
805	1064	256
806	1065	254
807	1066	253
808	1070	252
809	1072	251
810	1074	250
811	1075	248
812	1075	247
813	1076	246
814	1078	244
815	1079	243
816	1080	241
817	1080	240
818	1081	239
819	1083	237
820	1084	236
821	1086	235
822	1088	234
823	1089	232
824	1090	231
825	1091	229
826	1092	228
827	1093	227
828	1095	225
829	1096	224
830	1097	223
831	1098	221
832	1100	220
833	1102	219
834	1103	218
835	1104	216
836	1105	215
837	1105	213
838	1106	212
839	1107	210
840	1108	209
841	1109	208
842	1110	206
843	1111	205
844	1112	204
845	1113	202
846	1115	201
847	1116	200
848	1117	198
849	1118	197
850	1119	196
851	1120	194
852	1121	193
853	1122	191
854	1122	190
855	1123	189
856	1124	187
857	1125	186
858	1126	184
859	1126	183
860	1127	182
861	1129	180
862	1130	179
863	1131	178
864	1132	176
865	1134	175
866	1135	174
867	1135	172
868	1136	171
869	1139	170
870	1141	168
871	1142	167
872	1143	166
873	1146	165
874	1147	163
875	1148	162
876	1149	161
877	1150	159
878	1150	158
879	1151	157
880	1152	155
881	1153	154
882	1154	153
883	1155	151
884	1156	150
885	1157	148
886	1158	147
887	1159	146
888	1160	144
889	1162	143
890	1163	142
891	1163	140
892	1164	139
893	1165	138
894	1166	136
895	1167	135
896	1168	134
897	1168	132
898	1169	131
899	1170	130
900	1171	128
901	1172	127
902	1173	126
903	1175	124
904	1177	123
905	1178	122
906	1179	120
907	1180	119
908	1181	118
909	1182	116
910	1182	115
911	1183	114
912	1184	112
913	1185	111
914	1186	110
915	1187	108
916	1187	107
917	1189	106
918	1190	104
919	1191	103
920	1192	102
921	1193	101
922	1194	99
923	1195	98
924	1196	97
925	1197	95
926	1198	94
927	1199	93
928	1200	91
929	1201	90
930	1202	89
931	1203	87
932	1204	86
933	1206	85
934	1207	83
935	1209	82
936	1210	81
937	1211	80
938	1212	78
939	1213	77
940	1214	76
941	1217	74
942	1218	73
943	1220	72
944	1222	71
945	1223	69
946	1224	68
947	1225	67
948	1226	65
949	1228	64
950	1229	63
951	1229	62
952	1230	60
953	1231	59
954	1232	58
955	1235	56
956	1237	55
957	1238	54
958	1239	52
959	1239	51
960	1241	50
961	1242	49
962	1243	47
963	1243	46
964	1244	45
965	1245	43
966	1246	42
967	1248	41
968	1249	39
969	1251	38
970	1253	37
971	1254	36
972	1255	34
973	1256	33
974	1256	32
975	1258	30
976	1259	29
977	1260	28
978	1261	27
979	1263	25
980	1265	24
981	1267	23
982	1268	21
983	1269	20
984	1269	19
985	1270	18
986	1271	16
987	1273	15
988	1274	14
989	1274	12
990	1275	11
991	1277	10
992	1279	9
993	1280	7
994	1281	6
995	1282	5
996	1283	3
997	1284	2
998	1284	1
999	1286	0
